epoch,train_loss,val_loss,val_acc,val_miou,best_val_miou,checkpoint_saved
1,2.597096,2.338129,0.451089,0.218752,0.218752,True
2,2.258567,2.069757,0.636768,0.372804,0.372804,True
3,2.084011,1.865834,0.693349,0.417307,0.417307,True
4,1.932751,1.763040,0.709228,0.433515,0.433515,True
5,1.833041,1.639081,0.722064,0.439975,0.439975,True
6,1.719299,1.526549,0.737832,0.451240,0.451240,True
7,1.648146,1.491170,0.741101,0.454791,0.454791,True
8,1.568899,1.367894,0.756105,0.470997,0.470997,True
9,1.508800,1.381682,0.757859,0.470647,0.470997,False
10,1.460912,1.353210,0.758929,0.478850,0.478850,True
11,1.391123,1.281371,0.760639,0.492118,0.492118,True
12,1.357721,1.243762,0.768469,0.493783,0.493783,True
13,1.295568,1.173831,0.786621,0.563751,0.563751,True
14,1.265447,1.178357,0.792042,0.557967,0.563751,False
15,1.236872,1.190235,0.767492,0.524668,0.563751,False
16,1.207253,1.121077,0.791422,0.553507,0.563751,False
17,1.164241,1.096609,0.789250,0.561726,0.563751,False
18,1.154470,1.106522,0.786693,0.564834,0.564834,True
19,1.077975,1.059949,0.800673,0.589525,0.589525,True
20,1.061927,1.262359,0.743550,0.509220,0.589525,False
21,1.069329,1.030258,0.799309,0.582697,0.589525,False
22,1.003808,1.059215,0.790405,0.572483,0.589525,False
23,0.980697,1.112936,0.770148,0.549711,0.589525,False
24,0.975509,1.008884,0.806260,0.586724,0.589525,False
25,0.957704,1.029362,0.797854,0.598700,0.598700,True
26,0.950291,0.999670,0.806418,0.596806,0.598700,False
27,0.919334,0.992331,0.802186,0.586548,0.598700,False
28,0.895588,0.939440,0.812705,0.600992,0.600992,True
29,0.871803,0.958086,0.809822,0.596689,0.600992,False
30,0.837578,0.985110,0.805566,0.577461,0.600992,False
31,0.818210,1.009058,0.789315,0.567876,0.600992,False
32,0.828776,0.979689,0.801680,0.581356,0.600992,False
33,0.767136,0.967876,0.806595,0.589540,0.600992,False
34,0.770360,0.962691,0.800302,0.586005,0.600992,False
35,0.736992,0.924586,0.817309,0.601535,0.601535,True
36,0.733107,0.962367,0.806194,0.590272,0.601535,False
37,0.704491,0.986505,0.803158,0.570488,0.601535,False
38,0.710205,0.937516,0.812610,0.592637,0.601535,False
39,0.676647,0.924370,0.813428,0.598653,0.601535,False
40,0.682196,0.936589,0.807127,0.602870,0.602870,True
41,0.659764,1.064148,0.775081,0.542645,0.602870,False
42,0.628431,0.915335,0.814728,0.591715,0.602870,False
43,0.627693,0.944804,0.805330,0.572956,0.602870,False
44,0.612081,0.946399,0.810485,0.594365,0.602870,False
45,0.596734,0.934443,0.808372,0.588918,0.602870,False
46,0.581577,0.909332,0.816737,0.600970,0.602870,False
47,0.598876,0.943642,0.812323,0.589448,0.602870,False
48,0.577831,1.074524,0.772031,0.542582,0.602870,False
49,0.563719,1.041273,0.788449,0.554388,0.602870,False
50,0.562134,1.063423,0.783435,0.555336,0.602870,False
